km_driven,days_since_last_service,vehicle_type,service_type,next_service_due_days
4306,56,bike,wash,78
1897,21,bike,repair,80
10277,86,bike,full_service,50
10471,39,bike,full_service,58
15896,85,bike,repair,35
16240,132,car,repair,87
15683,94,car,wash,28
1670,12,bike,wash,29
24675,27,car,wash,39
18889,83,car,full_service,61
23844,61,car,wash,76
12767,92,car,full_service,73
14006,86,bike,wash,32
22551,23,bike,full_service,80
16768,97,car,repair,37
27531,6,bike,full_service,57
22639,36,car,repair,20
17633,67,car,full_service,30
23841,85,bike,full_service,16
2892,132,car,repair,81
4439,86,bike,full_service,35
27429,14,bike,full_service,31
3854,122,bike,wash,40
27079,106,bike,repair,63
12577,88,bike,repair,7
12763,124,bike,wash,36
21176,112,bike,wash,19
12618,136,bike,repair,79
22714,149,bike,repair,70
25255,106,car,repair,67
9235,86,bike,wash,5
20996,67,car,wash,79
3618,14,bike,full_service,9
22062,64,car,wash,10
4163,53,bike,full_service,9
26864,92,bike,full_service,77
3942,19,bike,wash,32
25795,32,car,wash,87
2925,99,car,wash,73
3972,76,bike,wash,48
12705,134,car,repair,20
11640,135,bike,wash,75
29047,106,car,full_service,82
11966,119,car,full_service,26
18374,73,car,repair,77
12138,10,bike,repair,27
19196,30,car,wash,47
16935,11,car,repair,72
14145,123,bike,wash,47
26379,77,bike,wash,30
1489,95,car,repair,45
12748,49,car,repair,74
23260,116,bike,full_service,35
27069,16,bike,repair,21
21029,128,bike,repair,13
24465,63,bike,repair,59
20275,131,bike,full_service,10
27281,86,car,wash,74
4516,15,bike,full_service,68
20724,62,bike,repair,8
7410,75,car,repair,71
1053,84,bike,repair,60
19959,108,bike,wash,22
29167,16,bike,full_service,36
17999,140,car,full_service,89
6944,57,bike,wash,52
8404,78,bike,full_service,33
1954,60,bike,wash,36
11625,112,bike,wash,29
2629,120,car,full_service,80
11973,33,car,full_service,67
7859,69,bike,wash,13
9841,16,bike,full_service,75
11539,19,bike,wash,18
13682,58,bike,full_service,24
4278,68,bike,full_service,88
22839,101,bike,full_service,14
28216,119,bike,full_service,15
21185,144,car,full_service,43
19945,56,bike,repair,23
28825,82,car,repair,23
7539,128,car,full_service,47
17754,12,bike,full_service,65
1857,5,car,full_service,74
5886,96,car,wash,76
13945,93,car,repair,69
8485,109,bike,wash,27
14680,137,car,repair,64
17767,50,car,repair,14
15397,146,bike,full_service,67
29453,50,bike,full_service,6
11744,86,car,wash,40
5334,67,bike,wash,61
21674,83,bike,full_service,70
20109,41,car,full_service,83
13226,56,car,repair,24
28869,61,car,repair,46
23588,6,bike,full_service,25
14440,111,car,repair,70
16020,25,car,wash,42
23495,18,bike,repair,82
5251,8,bike,full_service,73
13180,60,bike,repair,28
17140,19,bike,full_service,30
1922,105,car,repair,6
20299,49,car,wash,50
28526,80,car,wash,38
8957,149,bike,full_service,66
20430,140,car,full_service,45
16796,139,bike,full_service,19
26550,9,bike,repair,59
2230,64,bike,repair,7
11627,7,car,repair,80
25031,148,bike,wash,42
11006,21,car,full_service,55
28510,17,car,repair,21
5933,8,car,wash,87
15295,53,bike,full_service,53
26939,25,car,wash,25
17377,93,car,full_service,28
21324,99,bike,repair,87
23867,25,car,wash,44
1203,33,bike,wash,24
17544,7,car,wash,83
16899,137,bike,full_service,39
26344,47,bike,full_service,52
4748,106,bike,wash,37
7718,53,bike,full_service,60
19965,118,bike,wash,45
2093,142,car,repair,58
16228,80,car,wash,48
21884,145,car,wash,86
26183,95,car,full_service,85
17034,101,bike,full_service,76
6710,61,bike,full_service,88
10732,45,car,repair,15
20259,86,bike,repair,18
4191,98,car,repair,46
19221,38,bike,full_service,83
1689,142,bike,wash,16
21143,52,car,wash,88
28525,79,car,wash,21
3103,15,bike,full_service,82
1365,103,car,full_service,29
15010,69,car,repair,30
12767,140,car,full_service,51
17103,107,car,wash,29
25476,46,bike,repair,64
13742,8,bike,repair,64
13391,33,bike,full_service,31
5172,85,bike,repair,47
29901,114,car,repair,80
23417,63,car,full_service,24
16623,33,car,repair,67
3378,11,bike,wash,84
18589,96,bike,full_service,29
22372,120,bike,wash,31
13031,140,bike,wash,56
6669,86,car,wash,86
3735,101,car,wash,14
28923,95,car,repair,54
10867,113,bike,repair,34
9490,46,bike,full_service,5
1956,57,bike,full_service,58
10306,132,bike,wash,8
7623,120,bike,wash,11
15908,117,bike,full_service,34
28081,4,car,full_service,69
18858,95,bike,full_service,33
5460,20,bike,full_service,29
24386,127,bike,wash,44
14986,123,car,full_service,30
13638,145,car,repair,21
29302,20,bike,wash,35
29047,53,car,repair,65
23780,137,car,full_service,12
20212,103,car,repair,73
3850,110,bike,full_service,5
14299,115,car,repair,83
11698,56,car,wash,75
29346,127,car,repair,50
20348,149,bike,wash,24
5594,119,car,repair,86
26525,69,bike,repair,44
15282,94,car,wash,6
17285,98,bike,wash,65
15334,41,bike,full_service,75
7644,69,bike,wash,81
3850,1,bike,wash,34
15933,144,bike,full_service,34
1165,108,car,wash,49
29062,64,car,wash,28
11701,69,car,repair,88
1919,68,bike,full_service,60
9305,120,bike,full_service,87
20888,108,bike,repair,65
18375,59,car,full_service,17
16715,92,bike,repair,84
23431,11,bike,wash,60
4839,102,bike,full_service,19
18642,111,bike,wash,15
24993,64,car,full_service,16
12618,47,bike,wash,7
26090,87,bike,full_service,28
14519,61,bike,full_service,13
22188,43,bike,wash,50
28772,146,car,repair,75
11776,135,bike,full_service,64
1067,54,car,repair,15
10788,107,car,repair,14
6660,46,bike,repair,7
5478,1,bike,repair,23
9210,112,car,repair,6
11922,10,bike,repair,21
4521,137,bike,full_service,6
1572,111,car,repair,57
8082,89,car,full_service,20
25216,54,car,full_service,14
6395,147,car,full_service,72
16407,16,car,wash,47
19642,67,car,repair,62
12094,132,bike,wash,64
23423,51,bike,repair,28
1650,137,bike,wash,80
6741,96,bike,full_service,89
14281,47,bike,wash,20
7838,28,bike,full_service,13
19971,26,bike,wash,10
25260,145,bike,repair,69
4262,103,bike,repair,82
18722,59,car,wash,28
5996,105,car,wash,14
12826,68,bike,repair,86
23164,113,bike,wash,77
3827,20,car,wash,31
15211,101,car,repair,87
6232,130,car,full_service,7
3217,94,bike,repair,42
20923,104,car,repair,77
25229,124,car,wash,78
15232,1,car,repair,77
26613,65,bike,repair,21
15026,112,car,wash,52
21767,41,bike,wash,53
29554,19,car,full_service,47
20345,96,car,repair,88
20610,67,bike,full_service,11
14878,74,car,full_service,72
7837,124,car,full_service,78
8031,46,car,full_service,25
15806,4,bike,repair,82
26674,48,bike,repair,29
27900,123,bike,repair,85
26515,36,car,full_service,65
4716,145,bike,wash,32
4414,18,car,repair,82
18832,39,car,full_service,56
1570,16,car,full_service,17
20288,98,car,full_service,38
14288,92,car,full_service,71
19889,41,car,full_service,8
1917,122,car,full_service,48
11066,106,car,repair,19
7982,71,bike,wash,88
24811,64,bike,repair,12
7336,108,car,repair,9
19062,52,bike,full_service,70
17999,134,bike,repair,77
10941,132,bike,wash,50
29401,23,car,wash,69
24470,27,bike,full_service,70
13380,61,car,wash,30
28053,16,bike,full_service,35
22133,19,bike,wash,55
20889,2,bike,wash,45
12667,142,car,repair,55
5529,50,car,wash,23
18519,135,car,full_service,77
13192,140,car,wash,7
9566,2,car,wash,42
8226,72,car,repair,74
6162,104,car,full_service,49
17590,117,car,full_service,75
22259,33,car,full_service,45
2319,136,bike,repair,29
2141,61,bike,wash,54
5627,119,car,full_service,5
24773,114,bike,wash,58
15501,12,bike,wash,88
3690,68,car,wash,17
8323,76,car,repair,44
4255,0,bike,wash,25
25665,88,car,repair,45
6213,46,bike,repair,65
5108,3,car,repair,37
20404,9,bike,full_service,77
19241,27,car,repair,33
26380,120,bike,full_service,59
26520,125,bike,repair,36
20173,133,bike,repair,15
21259,139,bike,repair,56
24989,61,car,repair,40
10802,66,bike,wash,35
